task_name,target_col,model_name,split,train_rows,eval_rows,n_classes,class_weight,train_conflict_rows_dropped,accuracy,precision_macro,recall_macro,macro_f1,precision_weighted,recall_weighted,weighted_f1
sentiment_3class,sentiment_std_3class,tfidf_logreg,validation,34472,4888,3,None,2,0.8330605564648118,0.8473050318821919,0.8081524762027114,0.8235957388332888,0.8375272093531663,0.8330605564648118,0.8312295671872536
sentiment_3class,sentiment_std_3class,tfidf_logreg,test,34472,9779,3,None,2,0.8154207996727681,0.8280758545155811,0.789948192115367,0.804913603351062,0.8195926158485601,0.8154207996727681,0.8135989441845308
sentiment_3class,sentiment_std_3class,tfidf_linear_svm,validation,34472,4888,3,None,2,0.8336743044189853,0.8375348097473821,0.8188439347644286,0.8270971443225551,0.8343574130764132,0.8336743044189853,0.8329188863858968
sentiment_3class,sentiment_std_3class,tfidf_linear_svm,test,34472,9779,3,None,2,0.8194089375191738,0.8227888479789708,0.8035355171403434,0.8119357602720308,0.8203682342114471,0.8194089375191738,0.818725464027523
topic_group,topic_group,tfidf_logreg,validation,34474,4888,8,balanced,0,0.6886252045826514,0.514826513338812,0.7309293821215754,0.5642516717364318,0.7939011104021635,0.6886252045826514,0.7166845373215365
topic_group,topic_group,tfidf_logreg,test,34474,9779,8,balanced,0,0.6862664894160957,0.5235754535775139,0.7045222651909426,0.5670455207808743,0.7909678112878248,0.6862664894160957,0.7157770226932323
topic_group,topic_group,tfidf_linear_svm,validation,34474,4888,8,balanced,0,0.8203764320785597,0.6847065489949822,0.6949044969064087,0.6891058922961883,0.8202518175410899,0.8203764320785597,0.8201158939592161
topic_group,topic_group,tfidf_linear_svm,test,34474,9779,8,balanced,0,0.8154207996727681,0.6589526767662224,0.6586031110042342,0.6583080505450227,0.8165812954449142,0.8154207996727681,0.8157362491298568
toxic_binary,is_toxic,tfidf_logreg,validation,34474,4888,2,balanced,0,0.7671849427168577,0.5434605943203811,0.8555293811602163,0.5134082201999992,0.9767636584360194,0.7671849427168577,0.8481346848001388
toxic_binary,is_toxic,tfidf_logreg,test,34474,9779,2,balanced,0,0.754985172308007,0.5419707777580034,0.8575694245243071,0.5065097246958241,0.977391076685725,0.754985172308007,0.8402094935815326
toxic_binary,is_toxic,tfidf_linear_svm,validation,34474,4888,2,balanced,0,0.9907937806873978,0.941406831650734,0.8480901523253461,0.8889530049480433,0.9902690574719636,0.9907937806873978,0.990249875668495
toxic_binary,is_toxic,tfidf_linear_svm,test,34474,9779,2,balanced,0,0.99171694447285,0.9439095508438574,0.8663440742713783,0.901225190763066,0.9912999456134118,0.99171694447285,0.9913205596542494
urgency_final,urgency_level_final,tfidf_logreg,validation,34474,4888,3,balanced,0,0.7123567921440261,0.46883465181799727,0.7807364704626388,0.4434336684392108,0.9947490243103582,0.7123567921440261,0.8292226296797609
urgency_final,urgency_level_final,tfidf_logreg,test,34474,9779,3,balanced,0,0.7008896615195828,0.5135787140092883,0.7760022909507445,0.4690581589569045,0.9951912547812842,0.7008896615195828,0.8219498776296243
urgency_final,urgency_level_final,tfidf_linear_svm,validation,34474,4888,3,balanced,0,0.9959083469721768,0.7391771240485495,0.6383398531329353,0.6745276630026579,0.9955912181897334,0.9959083469721768,0.9957098521069777
urgency_final,urgency_level_final,tfidf_linear_svm,test,34474,9779,3,balanced,0,0.9964209019327129,0.8066981015145162,0.7131271477663231,0.7513678414921401,0.9962469955472991,0.9964209019327129,0.9961359685284972
